,area,centroid,mean_intensity,perimeter,row,column,circularity
1,149.0,"(25.550335570469798, 152.19463087248323)",0.3205509496863622,42.970562748477136,1,3,1.0140375792542058
2,157.0,"(25.923566878980893, 212.78343949044586)",0.3243994837850214,44.62741699796952,1,4,0.9906175427308354
3,153.0,"(26.22222222222222, 393.98692810457516)",0.32192746379597587,44.384776310850235,1,7,0.9759627091272784
4,154.0,"(25.90909090909091, 576.2532467532468)",0.37237925473219585,44.384776310850235,1,10,0.9823415503634044
5,147.0,"(26.387755102040817, 273.1224489795918)",0.3036859188119692,42.384776310850235,1,5,1.0282705740856453
6,147.0,"(26.142857142857142, 333.7278911564626)",0.3157974300831443,42.384776310850235,1,6,1.0282705740856453
7,135.0,"(26.288888888888888, 454.64444444444445)",0.3172500605180343,42.04163056034262,1,8,0.9598083623897886
8,148.0,"(26.45945945945946, 515.4256756756756)",0.3562621444974386,43.21320343559643,1,9,0.9959525664881796
9,110.0,"(85.60909090909091, 31.436363636363637)",0.3379441473559121,36.97056274847714,2,1,1.0113242630464967
10,117.0,"(85.7948717948718, 91.78632478632478)",0.28173845036590134,37.55634918610404,2,2,1.042387006296855
11,134.0,"(86.02985074626865, 152.47014925373134)",0.26215978928884986,40.970562748477136,2,3,1.0031613793979826
12,145.0,"(86.33103448275862, 212.78620689655173)",0.25359477124183005,43.21320343559643,2,4,0.9757643387890949
13,145.0,"(86.77241379310345, 393.7655172413793)",0.2766283524904215,43.21320343559643,2,7,0.9757643387890949
14,144.0,"(86.875, 515.0972222222222)",0.3002087872185911,41.798989873223334,2,9,1.0357162325289029
15,146.0,"(86.91780821917808, 636.8082191780821)",0.35162503357507385,43.798989873223334,2,11,0.956388908074748
16,147.0,"(86.63265306122449, 697.5986394557823)",0.38591436574629845,44.62741699796952,2,12,0.9275208839581708
17,125.0,"(86.744, 273.224)",0.2150169934640523,40.384776310850235,2,5,0.963129119539889
18,127.0,"(86.7007874015748, 333.3937007874016)",0.2546755185013638,39.55634918610404,2,6,1.0199553985328214
19,133.0,"(86.9172932330827, 575.7518796992481)",0.2745491178927711,41.970562748477136,2,10,0.9487939796147675
20,118.0,"(145.72881355932202, 31.305084745762713)",0.3327129721945275,38.970562748477136,3,1,0.9763791953766093
21,137.0,"(146.02919708029196, 91.74452554744525)",0.2697962883450217,41.798989873223334,3,2,0.985368915669859
