,area,centroid,mean_intensity,perimeter,row,column,circularity
2,268.0,"(26.08955223880597, 515.4850746268656)",0.3775387767047117,63.11269837220809,1,9,0.8454952275537068
3,240.0,"(26.008333333333333, 454.25416666666666)",0.3624509803921568,56.04163056034261,1,8,0.960283750734805
4,232.0,"(26.685344827586206, 272.5905172413793)",0.33932274059048906,56.698484809834994,1,5,0.9068906882454003
5,221.0,"(26.294117647058822, 393.6651583710407)",0.35181143347233307,53.4558441227157,1,7,0.9718780058836753
6,214.0,"(26.588785046728972, 332.75233644859816)",0.3423004092602774,52.8700576850888,1,6,0.9620642326388099
7,32.0,"(25.78125, 41.875)",0.37720588235294117,26.485281374238568,1,1,0.5732587073405917
9,603.0,"(137.18242122719735, 454.48590381426203)",0.2716916506790666,180.9827560572969,3,8,0.23134109196441036
11,309.0,"(146.39482200647248, 393.6666666666667)",0.29086024916978653,63.698484809834994,3,7,0.956996037545322
12,239.0,"(146.61087866108787, 575.7489539748954)",0.33450378756802585,55.4558441227157,3,10,0.9765919146186376
13,234.0,"(147.008547008547, 151.89743589743588)",0.29354226020892693,54.62741699796952,3,3,0.9853814668899957
14,219.0,"(146.88127853881278, 272.5570776255708)",0.2671740233384069,52.04163056034262,3,5,1.0161368193698637
15,206.0,"(146.88834951456312, 514.8543689320388)",0.2757281553398058,52.04163056034261,3,9,0.9558181953890045
16,212.0,"(147.14150943396226, 636.9292452830189)",0.3615427302996671,52.2842712474619,3,11,0.9745488352993515
17,233.0,"(147.11158798283262, 697.9098712446352)",0.41101293163903624,54.04163056034261,3,12,1.0025565913589036
18,171.0,"(146.88888888888889, 332.58479532163744)",0.27452509268814734,45.798989873223334,3,6,1.0244580407824866
20,288.0,"(206.56597222222223, 273.63194444444446)",0.249532498184459,63.83452377915607,4,5,0.8881597877515411
21,295.0,"(207.4372881355932, 394.7559322033898)",0.24009748532181235,62.526911934581186,4,7,0.9481955641290777
22,263.0,"(207.41444866920153, 697.7110266159696)",0.4112875568478342,59.698484809834994,4,12,0.9273400048719872
23,235.0,"(207.21702127659574, 636.7617021276595)",0.35958837435683494,55.21320343559643,4,11,0.9687056562107349
24,195.0,"(207.7025641025641, 91.50769230769231)",0.3125724819842467,50.87005768508881,4,2,0.9469346646704282
25,191.0,"(207.61256544502618, 575.2774869109948)",0.31406084248708205,59.00609665440987,4,10,0.6893653630217035
26,170.0,"(207.51176470588234, 332.5529411764706)",0.26054594386774316,46.62741699796952,4,6,0.9825984394647074
27,105.0,"(207.33333333333334, 151.74285714285713)",0.21604730781201373,64.79898987322333,4,3,0.3142408865419759
30,29.0,"(288.2413793103448, 560.2413793103449)",0.29686725264818564,17.65685424949238,5,10,1.1689103329366752
34,407.0,"(327.8820638820639, 275.1474201474201)",0.24900194311959017,75.94112549695427,6,5,0.8868500901150446
35,402.0,"(329.50995024875624, 334.7412935323383)",0.2803173674113094,74.5269119345812,6,6,0.9095145778169315
36,671.0,"(330.7839046199702, 405.2876304023845)",0.26233988876226094,118.32590180780451,6,7,0.6022443551408785
37,185.0,"(328.74054054054056, 30.2972972972973)",0.37208267090620034,48.62741699796952,6,1,0.9831486562505986
38,204.0,"(328.4656862745098, 152.02941176470588)",0.29243239779571956,51.21320343559643,6,3,0.9774085798074668
39,201.0,"(329.02487562189054, 637.0149253731344)",0.366182161089975,50.62741699796952,6,11,0.9854495165958939
40,221.0,"(329.3212669683258, 697.972850678733)",0.41822376009227225,53.21320343559643,6,12,0.9807613194018444
42,248.0,"(388.6008064516129, 152.0040322580645)",0.33154121863799285,56.62741699796952,7,3,0.9718696958925699
43,248.0,"(388.6774193548387, 272.9032258064516)",0.30357895846510646,57.698484809834994,7,5,0.9361225949089935
44,283.0,"(389.22968197879857, 393.74911660777383)",0.3177486777985635,60.52691193458118,7,7,0.9707318199548102
45,340.0,"(389.6058823529412, 454.65588235294115)",0.31237600922722025,67.94112549695429,7,8,0.9255999170717354
46,340.0,"(389.4676470588235, 515.6558823529411)",0.31389850057670127,67.94112549695427,7,9,0.9255999170717358
47,249.0,"(389.59437751004015, 575.7429718875502)",0.3598866052445075,57.45584412271571,7,10,0.9478525701358193
48,185.0,"(389.1027027027027, 30.25945945945946)",0.3936760289701466,47.798989873223334,7,1,1.0175228124871398
49,184.0,"(388.9782608695652, 333.0054347826087)",0.2984157431088377,47.21320343559642,7,6,1.0372913350191089
50,214.0,"(389.6869158878505, 637.126168224299)",0.3935678944474987,52.04163056034261,7,11,0.992937348607995
53,237.0,"(449.4388185654008, 272.9113924050633)",0.3610821543807397,54.87005768508881,8,5,0.9892074454290138
54,236.0,"(449.14830508474574, 393.8135593220339)",0.3847346848343858,55.4558441227157,8,7,0.9643334387029225
55,226.0,"(449.5088495575221, 454.4911504424779)",0.38040372491179364,55.45584412271571,8,8,0.9234718523172052
56,196.0,"(449.6887755102041, 90.7704081632653)",0.3909430438842203,50.04163056034262,8,2,0.9835649199677516
57,225.0,"(449.41777777777776, 333.0444444444444)",0.3681045751633987,53.45584412271571,8,6,0.9894685580263659
59,29.0,"(453.3448275862069, 633.1034482758621)",0.4214108631958531,23.65685424949238,8,11,0.6511692346552679
60,41.0,"(457.9756097560976, 691.9268292682926)",0.49319304957755455,23.31370849898476,8,12,0.9479184945424235
