,area,centroid,mean_intensity,perimeter,row,column,circularity
1,550.0,"(24.85272727272727, 330.04)",0.34454426619132505,87.84062043356595,1,6,0.8957395789705239
2,504.0,"(24.700396825396826, 146.9920634920635)",0.37841321713870735,80.76955262170047,1,3,0.9708341524962082
3,519.0,"(25.01926782273603, 208.39691714836223)",0.33963756343899143,82.18376618407356,1,4,0.9656175331123431
4,399.0,"(24.75689223057644, 634.9097744360902)",0.4174652317067179,71.35533905932738,1,11,0.9847586662895685
5,480.0,"(25.74375, 269.34791666666666)",0.3368518518518518,79.59797974644667,1,5,0.9520220582335988
6,348.0,"(25.07471264367816, 27.979885057471265)",0.4338291638494479,67.698484809835,1,1,0.9541819802977302
7,358.0,"(26.248603351955307, 512.8100558659218)",0.3641581772373753,67.698484809835,1,9,0.9816010027200788
9,1225.0,"(85.85142857142857, 196.6)",0.29470348139255703,135.88225099390854,2,4,0.8337205135388797
10,917.0,"(85.80043620501635, 80.7557251908397)",0.344000399141845,111.49747468305833,2,2,0.9269346937780911
11,778.0,"(85.86246786632391, 141.9164524421594)",0.3112203236050204,103.49747468305833,2,3,0.9127040014557709
12,678.0,"(85.21681415929204, 630.8421828908555)",0.3594674841421328,96.08326112068522,2,11,0.9228775643744659
13,768.0,"(86.36458333333333, 324.5325520833333)",0.2897841775599128,102.42640687119285,2,6,0.9199139574658511
14,415.0,"(85.53975903614457, 696.2530120481928)",0.4180738640837862,76.18376618407356,2,12,0.8985310386563723
15,247.0,"(86.70040485829959, 262.41295546558706)",0.23549522373051784,111.94722215136416,2,5,0.24767386090595095
16,40.0,"(86.5, 452.7)",0.3006535947712418,21.899494936611667,2,8,1.0480974335065731
17,811.0,"(145.63501849568433, 627.0369913686807)",0.3264250541975936,106.08326112068522,3,11,0.9056012103461297
18,490.0,"(146.0469387755102, 695.0693877551021)",0.39710550887021473,79.59797974644667,3,12,0.9718558511134655
19,559.0,"(206.608228980322, 693.7853309481217)",0.38236580261204056,85.01219330881975,4,12,0.9719842545611133
21,31.0,"(209.2258064516129, 74.51612903225806)",0.2839131351465318,22.86396103067893,4,2,0.7451927403938209
22,535.0,"(266.9252336448598, 694.4934579439253)",0.3860411703622259,85.11269837220809,5,12,0.9280575907169426
23,538.0,"(328.0594795539034, 694.7397769516729)",0.3998517870593095,83.84062043356595,6,12,0.9617964565044125
24,1122.0,"(389.10249554367203, 627.6524064171123)",0.3539687532767118,150.61017305526642,7,11,0.6215758118243082
25,392.0,"(388.71173469387753, 696.4311224489796)",0.4255869014272376,71.698484809835,7,12,0.958243705693595
26,501.0,"(450.16766467065867, 270.4630738522954)",0.3588483164390174,82.18376618407356,8,5,0.9321279076864815
27,540.0,"(450.06296296296296, 450.73703703703706)",0.366080852093924,85.01219330881975,8,8,0.9389472226529537
28,523.0,"(449.24474187380497, 511.6156787762906)",0.37374373586273263,83.01219330881975,8,9,0.9537351204084173
29,530.0,"(450.03584905660375, 332.6547169811321)",0.3562190159082501,83.59797974644665,8,6,0.953002783403331
30,369.0,"(449.9024390243902, 635.9945799457995)",0.4292966328356095,70.5269119345812,8,11,0.9322373381172486
31,353.0,"(450.5439093484419, 150.11898016997168)",0.3769816141754152,68.5269119345812,8,3,0.9446311149581192
32,305.0,"(449.38360655737705, 697.0459016393443)",0.4714839815707704,62.2842712474619,8,12,0.9879908638589991
33,344.0,"(450.7267441860465, 89.09011627906976)",0.40576455388356897,67.11269837220809,8,2,0.9597517336201398
34,270.0,"(450.8888888888889, 28.37037037037037)",0.44839506172839516,58.87005768508881,8,1,0.9790045392371176
