,area,centroid,mean_intensity,perimeter,row,column,circularity
1,782.0,"(25.900255754475705, 91.50383631713555)",0.4871136519398893,108.74011537017762,1,2,0.8310689145805589
2,724.0,"(24.7707182320442, 151.62707182320443)",0.47065865020041164,100.91168824543142,1,3,0.8934401934757491
3,828.0,"(26.334541062801932, 29.47463768115942)",0.5266300400997758,110.32590180780451,1,1,0.854840773601713
4,665.0,"(25.33233082706767, 696.9729323308271)",0.5704889675168313,96.08326112068524,1,12,0.9051822718422119
5,754.0,"(28.013262599469495, 393.8315649867374)",0.4551377403304381,102.08326112068522,1,7,0.9092266130173932
6,610.0,"(25.868852459016395, 636.1918032786886)",0.5404993035465553,90.66904755831214,1,11,0.9324414943291726
7,629.0,"(26.55643879173291, 212.16534181240064)",0.47893637582218895,91.01219330881975,1,4,0.9542481975531968
8,900.0,"(85.36777777777777, 30.633333333333333)",0.4735497458242556,115.63961030678927,2,1,0.8457444071540542
9,837.0,"(85.59976105137396, 90.7084826762246)",0.4302027939809934,109.01219330881976,2,2,0.8850853792278708
10,710.0,"(86.14647887323943, 210.84084507042255)",0.41460922397127864,100.08326112068522,2,4,0.8907284351748773
11,737.0,"(87.42876526458616, 273.8249660786974)",0.4056065483633526,102.32590180780451,2,5,0.8845170122103269
12,796.0,"(85.428391959799, 332.99874371859295)",0.40403652248168953,106.32590180780451,2,6,0.8847993236490495
13,746.0,"(86.24128686327077, 452.93163538873995)",0.41744905290087425,104.08326112068522,2,8,0.8653402594177152
14,579.0,"(86.8013816925734, 151.79274611398964)",0.44766387844717626,87.84062043356595,2,3,0.9429694840435151
15,592.0,"(86.59121621621621, 635.9172297297297)",0.49944576929871054,87.84062043356595,2,11,0.9641415104555456
16,687.0,"(87.8995633187773, 394.1877729257642)",0.41262665182521335,97.84062043356595,2,7,0.9018373234366964
17,561.0,"(86.55080213903743, 697.0338680926916)",0.5276688453159042,86.42640687119285,2,12,0.9437996449322108
18,230.0,"(86.73478260869565, 514.6652173913044)",0.41314578005115093,55.4558441227157,2,9,0.9398164868714924
19,278.0,"(86.78057553956835, 575.2482014388489)",0.46216673719847656,58.87005768508881,2,10,1.0080120811404396
20,916.0,"(145.94213973799125, 90.59934497816595)",0.4111696206867026,118.32590180780451,3,2,0.8221398350358341
21,899.0,"(146.2602892102336, 454.1245828698554)",0.3709103070223269,122.63961030678928,3,8,0.7511177619894118
22,877.0,"(147.23831242873433, 514.1470923603192)",0.3906439808914824,111.9827560572969,3,9,0.8788346135189654
23,781.0,"(146.66453265044814, 151.92061459667093)",0.4001121404601107,110.22539674441617,3,3,0.8077882961749279
24,894.0,"(147.168903803132, 212.77069351230426)",0.3807299206035882,113.49747468305833,3,4,0.8721174687923878
25,763.0,"(146.61598951507207, 393.5819134993447)",0.38398478657518054,106.32590180780451,3,7,0.8481179446535486
26,642.0,"(146.3006230529595, 696.7507788161994)",0.5106244782440494,92.66904755831214,3,12,0.9394539423785411
27,770.0,"(147.08961038961039, 30.32857142857143)",0.49131313131313126,101.49747468305833,3,1,0.9392692735515367
28,611.0,"(146.90180032733224, 574.9754500818331)",0.4473048575676861,91.25483399593904,3,10,0.9220178213733956
29,687.0,"(147.85152838427948, 271.16157205240177)",0.37807650959461897,97.59797974644667,3,5,0.9063270564875376
30,607.0,"(147.01317957166393, 331.9357495881384)",0.3996769712827471,91.25483399593904,3,6,0.9159816981565485
31,686.0,"(148.0874635568513, 634.4708454810495)",0.4562777491949161,96.08326112068522,3,11,0.9337669751635453
32,822.0,"(206.65936739659367, 151.65328467153284)",0.3744907208625543,108.5685424949238,4,3,0.8763420807343577
33,807.0,"(207.44237918215615, 30.350681536555143)",0.48540143029537297,104.32590180780451,4,1,0.9317493613322443
34,757.0,"(207.36856010568033, 212.11228533685602)",0.369520207907029,102.32590180780451,4,4,0.9085201875756003
35,639.0,"(207.31455399061034, 575.2582159624413)",0.43953276667996355,92.42640687119285,4,10,0.9399799332170349
36,670.0,"(207.71940298507462, 635.6298507462686)",0.4490996000390206,99.9827560572969,4,11,0.8422372759444153
37,693.0,"(208.010101010101, 91.16017316017316)",0.3960840902017373,98.32590180780451,4,2,0.900756121115455
38,610.0,"(208.2983606557377, 393.0081967213115)",0.4011014679095682,90.76955262170046,4,7,0.9303777360418441
39,766.0,"(207.90731070496085, 455.05483028720624)",0.3864212699875425,104.08326112068522,4,8,0.8885397301795842
40,639.0,"(207.55868544600938, 695.9123630672926)",0.5012263851810939,94.9116882454314,4,12,0.891397322359403
41,589.0,"(208.56196943972836, 272.43803056027167)",0.38683711175471885,89.25483399593904,4,5,0.9290983004274873
42,651.0,"(208.08755760368663, 331.99231950844853)",0.37680993544371155,94.32590180780451,4,6,0.919451701052606
43,590.0,"(207.93559322033897, 514.1559322033899)",0.40968871164284926,90.18376618407356,4,9,0.9116017277665311
44,799.0,"(267.29787234042556, 271.8310387984981)",0.36148126334388575,105.98275605729688,5,5,0.8938944178590797
45,814.0,"(267.8353808353808, 30.203931203931205)",0.4867723338311573,104.32590180780451,5,1,0.9398314499683357
46,759.0,"(267.42028985507244, 151.22793148880106)",0.3846840097479483,103.49747468305833,5,3,0.8904143150448973
47,767.0,"(267.8500651890482, 393.89700130378094)",0.3637293248459749,104.08326112068522,5,7,0.8896997037176778
48,745.0,"(268.5677852348993, 89.90335570469799)",0.4190218011141817,107.15432893255071,5,2,0.8153549180939303
49,756.0,"(268.75396825396825, 212.09656084656083)",0.3712902444928589,105.49747468305833,5,4,0.8535864877820698
50,723.0,"(267.31258644536655, 333.26417704011067)",0.3825762301232158,101.49747468305833,5,6,0.8819372529581311
51,732.0,"(267.7909836065574, 515.1161202185792)",0.3968784599449981,102.08326112068522,5,9,0.8826974545473897
52,681.0,"(269.0748898678414, 455.15712187958883)",0.3880452621577265,98.32590180780451,5,8,0.8851586125247112
53,714.0,"(269.34453781512605, 574.1470588235294)",0.4198879551820728,100.08326112068524,5,10,0.8957466235420595
54,625.0,"(268.4464, 635.6144)",0.4690091503267974,92.42640687119285,5,11,0.9193856936786337
55,609.0,"(268.13136288998356, 696.6995073891626)",0.5140689225881924,90.42640687119285,5,12,0.9359154314338899
56,885.0,"(327.8090395480226, 30.67909604519774)",0.47238432849599343,114.8111831820431,6,1,0.8436935900560832
57,710.0,"(327.2732394366197, 91.40563380281691)",0.4325232440393998,99.49747468305833,6,2,0.9012475484611403
58,880.0,"(328.0875, 212.3181818181818)",0.38289215686274514,111.49747468305833,6,4,0.8895338391763579
59,790.0,"(328.29493670886075, 272.1253164556962)",0.3772995780590717,105.25483399593904,6,5,0.8960925239600224
60,663.0,"(327.90497737556564, 152.24886877828055)",0.41791027119746843,96.91168824543142,6,3,0.8870969252368741
61,711.0,"(328.6033755274262, 453.1715893108298)",0.4016142228105494,99.49747468305833,6,8,0.9025169112054516
62,596.0,"(328.31879194630875, 514.246644295302)",0.4355880159670131,91.01219330881975,6,9,0.9041843016561292
63,672.0,"(330.41964285714283, 575.0907738095239)",0.4474848272642391,100.66904755831213,6,10,0.8332728229880284
64,643.0,"(328.6749611197512, 333.5349922239502)",0.39841632868803306,94.66904755831214,6,6,0.9015811464627418
65,614.0,"(328.5928338762215, 392.36319218241044)",0.4131932468970216,92.08326112068522,6,7,0.9099485816116021
66,622.0,"(328.411575562701, 696.6270096463022)",0.5201458504087594,90.18376618407356,6,12,0.961044533340309
67,880.0,"(388.5, 695.6943181818182)",0.5194592988710636,113.1543289325507,7,12,0.863674683370032
68,808.0,"(388.7475247524753, 575.4975247524752)",0.4480214197890377,112.22539674441617,7,10,0.8061928199731823
69,842.0,"(388.6840855106888, 29.442992874109265)",0.5005092139785448,108.91168824543142,7,1,0.8920166797531386
70,685.0,"(387.8481751824817, 392.6905109489051)",0.4274089976623253,98.32590180780451,7,7,0.8903577820549591
71,764.0,"(388.3979057591623, 514.7460732984293)",0.4436385723573897,105.9827560572969,7,9,0.8547375910442264
72,775.0,"(389.0064516129032, 91.15870967741935)",0.46519418089816567,106.91168824543142,7,2,0.852042369411593
73,782.0,"(388.4156010230179, 151.84526854219948)",0.43766611503936614,106.9827560572969,7,3,0.8585963805306533
74,809.0,"(388.6131025957973, 211.79975278121137)",0.43699071717685833,105.08326112068522,7,4,0.9206430976656772
