,area,centroid,mean_intensity,perimeter,row,column,circularity
1,241.0,"(25.634854771784234, 331.8630705394191)",0.3603883600466466,58.2842712474619,1,6,0.8915057841355085
2,247.0,"(24.59514170040486, 697.6842105263158)",0.49340319123600845,56.2842712474619,1,12,0.9797893682654122
3,234.0,"(25.034188034188034, 28.935897435897434)",0.43953969052008274,55.79898987322333,1,1,0.9444371183992945
4,224.0,"(25.991071428571427, 150.57142857142858)",0.3745915032679739,54.4558441227157,1,3,0.9492244003073782
5,232.0,"(25.5, 513.9698275862069)",0.39800540906017584,54.8700576850888,1,9,0.9683380900402164
6,230.0,"(25.382608695652173, 574.9608695652174)",0.41661267405512936,54.8700576850888,1,10,0.9599903478846974
7,240.0,"(25.029166666666665, 636.1291666666667)",0.4437799564270153,55.45584412271572,1,11,0.9806780732572089
8,208.0,"(25.471153846153847, 89.57211538461539)",0.39045374560080437,50.62741699796952,1,2,1.0197686539897808
9,232.0,"(26.142241379310345, 211.00862068965517)",0.3628634212305612,54.04163056034262,1,4,0.9982537733702385
10,189.0,"(26.116402116402117, 392.2275132275132)",0.37218245322820487,51.698484809834994,1,7,0.8886199075696785
11,195.0,"(25.8, 453.0615384615385)",0.3756192391486509,49.79898987322333,1,8,0.9881057082750344
12,195.0,"(26.148717948717948, 271.3076923076923)",0.353403720462544,49.45584412271571,1,5,1.0018650755326426
14,202.0,"(85.93069306930693, 29.76732673267327)",0.394059405940594,50.62741699796952,2,1,0.9903522505093063
15,231.0,"(85.64935064935065, 697.012987012987)",0.42535721359250783,54.04163056034262,2,12,0.9939509553815736
16,192.0,"(86.234375, 90.27604166666667)",0.346480119825708,49.21320343559643,2,2,0.9962029460913343
17,185.0,"(86.70270270270271, 151.07027027027027)",0.30917505741035156,50.2842712474619,2,3,0.919427038997655
18,199.0,"(86.93467336683418, 331.6683417085427)",0.28981508851446774,52.62741699796952,2,6,0.9028982899647822
19,202.0,"(86.65841584158416, 452.8514851485148)",0.3200737720830907,50.62741699796952,2,8,0.9903522505093063
20,205.0,"(86.42926829268292, 513.6975609756098)",0.3457867049258727,50.62741699796952,2,9,1.0050604522495434
21,189.0,"(86.19047619047619, 574.6243386243386)",0.3661859805650655,48.62741699796952,2,10,1.0044059244938548
22,182.0,"(86.08791208791209, 635.7912087912088)",0.38455074337427275,47.798989873223334,2,11,1.0010224425549161
23,183.0,"(86.94535519125684, 211.18032786885246)",0.2993249758919962,49.21320343559643,2,4,0.949505932993303
24,158.0,"(86.9493670886076, 271.6012658227848)",0.2792256142963514,46.62741699796952,2,5,0.9132385496201397
25,177.0,"(86.87570621468926, 392.090395480226)",0.2963036815479488,47.21320343559643,2,7,0.9978291646651207
26,213.0,"(146.66197183098592, 29.751173708920188)",0.37311362729755443,53.21320343559643,3,1,0.9452586472063025
27,178.0,"(146.73595505617976, 90.57303370786516)",0.3102739223030036,49.112698372208094,3,2,0.9273470064055441
28,199.0,"(147.20100502512562, 271.643216080402)",0.2553486386179262,50.8700576850888,3,5,0.966358965484181
29,192.0,"(147.14583333333334, 392.046875)",0.29253812636165577,50.62741699796952,3,7,0.9413249113751821
30,192.0,"(146.96875, 513.7604166666666)",0.3097766884531591,49.21320343559643,3,9,0.9962029460913343
31,197.0,"(146.88324873096445, 574.5177664974619)",0.34393019475133546,50.2842712474619,3,10,0.9790655496353406
32,218.0,"(146.71559633027522, 635.5321100917431)",0.38511722731906217,52.04163056034261,3,11,1.0114969252174901
33,227.0,"(146.5374449339207, 696.9735682819384)",0.4326624629293715,53.21320343559643,3,12,1.0073883235485008
34,188.0,"(147.10638297872342, 151.14361702127658)",0.2695730774579335,51.04163056034261,3,3,0.906814871338302
35,172.0,"(147.4360465116279, 211.11627906976744)",0.2569007447940416,47.21320343559643,3,4,0.9696419001265579
36,182.0,"(147.1153846153846, 331.65934065934067)",0.2668246785893844,48.970562748477136,3,6,0.9536984185281885
37,188.0,"(147.10106382978722, 452.90425531914894)",0.28937560839938814,48.384776310850235,3,8,1.0091372514983348
38,206.0,"(207.04368932038835, 30.131067961165048)",0.3680753854940034,52.04163056034261,4,1,0.9558181953890045
39,188.0,"(207.3031914893617, 211.31914893617022)",0.242511472674176,53.2842712474619,4,4,0.8320887540157067
40,213.0,"(207.31924882629107, 271.4507042253521)",0.25743655834790874,53.45584412271571,4,5,0.9366969015982931
41,176.0,"(207.19886363636363, 90.67613636363636)",0.29587789661319075,46.970562748477136,4,2,1.0024691233110612
42,182.0,"(207.56043956043956, 151.2087912087912)",0.2609351432880844,53.49137802864845,4,3,0.7993071164019381
43,190.0,"(207.6157894736842, 331.8263157894737)",0.2528517371861025,49.21320343559643,4,6,0.9858258320695497
44,187.0,"(207.31550802139037, 392.0427807486631)",0.2803047778826325,49.21320343559643,4,7,0.9702601610368725
45,194.0,"(207.46391752577318, 453.05670103092785)",0.287804056330436,51.04163056034262,4,8,0.9357557714873965
46,210.0,"(207.5, 513.5666666666667)",0.3079738562091503,51.45584412271571,4,9,0.9966891821308292
47,201.0,"(207.61194029850745, 574.4527363184079)",0.33608428446005273,52.2842712474619,4,10,0.9239826221470268
48,217.0,"(207.52534562211983, 635.5299539170506)",0.3764284208306979,52.384776310850235,4,11,0.9937094281326672
49,224.0,"(207.40625, 696.9508928571429)",0.42673902894491134,53.79898987322333,4,12,0.9725448522598936
50,207.0,"(267.6231884057971, 211.32850241545893)",0.2552619115278961,53.04163056034261,5,4,0.9245842196875405
51,229.0,"(267.89082969432314, 331.764192139738)",0.26435482489939205,55.698484809834994,5,6,0.9275953957665454
52,223.0,"(267.99103139013454, 453.30941704035877)",0.29373662768545394,54.8700576850888,5,8,0.9307732503403805
53,200.0,"(267.65, 30.16)",0.3595294117647059,50.62741699796952,5,1,0.9805467826824815
54,186.0,"(267.59139784946234, 90.91397849462365)",0.29359758240213646,49.248737341529164,5,2,0.9636794711915613
55,186.0,"(267.6290322580645, 151.0752688172043)",0.25686274509803914,49.62741699796952,5,3,0.9490289590957993
56,211.0,"(268.25118483412325, 392.4123222748815)",0.27720472075085956,52.62741699796952,5,7,0.9573444180028594
57,212.0,"(268.35849056603774, 574.5943396226415)",0.3379393266740659,51.45584412271571,5,10,1.0061814600558847
58,221.0,"(268.32579185520365, 635.5927601809955)",0.37699109809836456,53.45584412271572,5,11,0.9718780058836749
59,223.0,"(268.3452914798206, 697.0403587443947)",0.42803130220698166,53.45584412271571,5,12,0.9806732819550205
60,185.0,"(268.27027027027026, 513.3243243243244)",0.29504327857269036,48.62741699796952,5,9,0.9831486562505986
61,176.0,"(327.9375, 90.4375)",0.29926470588235293,49.79898987322333,6,2,0.8918287418277233
62,200.0,"(328.01, 151.195)",0.28358169934640526,51.62741699796952,6,3,0.9429291576835128
63,218.0,"(328.04128440366975, 211.37614678899084)",0.27070816094021705,52.62741699796952,6,4,0.9891046593584044
64,196.0,"(328.03061224489795, 271.4795918367347)",0.2587234893957583,52.45584412271571,6,5,0.8951136401340077
65,185.0,"(328.5891891891892, 392.44864864864866)",0.27850909733262674,49.21320343559643,6,7,0.9598830470150876
66,193.0,"(328.68911917098444, 452.89637305699483)",0.2970368112702767,50.66295090390226,6,8,0.9449007832619546
67,236.0,"(329.0805084745763, 697.0805084745763)",0.44016284479893664,56.21320343559643,6,12,0.9385235971756227
68,197.0,"(328.3147208121827, 332.1319796954315)",0.27805978567399886,50.04163056034261,6,6,0.9885831083349341
69,184.0,"(328.7391304347826, 513.9130434782609)",0.3138959931798806,48.62741699796952,6,9,0.9778343391897846
70,208.0,"(328.77403846153845, 574.4423076923077)",0.3539341377576672,51.21320343559643,6,10,0.9965734539213388
71,209.0,"(329.00956937799043, 635.5693779904307)",0.38994902586233854,52.66295090390226,6,11,0.9469908197369432
72,194.0,"(388.4381443298969, 90.5)",0.3506704399973048,53.04163056034261,7,2,0.8665185440549896
73,215.0,"(388.2325581395349, 211.37674418604652)",0.3084480924152607,52.62741699796952,7,4,0.9754931273488852
74,193.0,"(388.43523316062175, 271.72020725388603)",0.2956483456940635,50.45584412271571,7,5,0.9526737974630916
75,190.0,"(388.88421052631577, 392.40526315789475)",0.3217199862401101,52.248737341529164,7,7,0.8746048185799624
76,189.0,"(388.55555555555554, 29.925925925925927)",0.39854065082823253,49.21320343559643,7,1,0.9806372750586573
77,200.0,"(388.355, 150.955)",0.32834640522875813,49.21320343559643,7,3,1.0377114021784732
78,189.0,"(388.69312169312167, 331.962962962963)",0.2881280907424698,50.04163056034261,7,6,0.948437601397475
79,198.0,"(389.3888888888889, 513.4040404040404)",0.3576351752822341,50.04163056034261,7,9,0.9936012967021167
80,199.0,"(389.68341708542715, 574.5276381909548)",0.3794988011955201,50.04163056034261,7,10,0.9986194850692991
81,200.0,"(389.8, 636.055)",0.4118627450980392,52.62741699796952,7,11,0.9074354673012885
82,235.0,"(390.0553191489362, 697.1744680851064)",0.4650702266722292,55.21320343559643,7,12,0.9687056562107349
83,190.0,"(448.9947368421053, 28.94736842105263)",0.45099415204678367,48.62741699796952,8,1,1.0097202415546689
84,202.0,"(448.88613861386136, 89.92079207920793)",0.40290558467611465,50.62741699796952,8,2,0.9903522505093063
85,177.0,"(449.26553672316385, 150.45197740112994)",0.3790775820686089,47.45584412271571,8,3,0.9876514933183996
86,189.0,"(450.1798941798942, 513.8730158730159)",0.4138741916519695,49.798989873223334,8,9,0.9577024557127254
87,190.0,"(450.61578947368423, 575.1105263157895)",0.4310010319917442,51.87005768508881,8,10,0.8874216157511641
88,211.0,"(451.1042654028436, 636.2938388625593)",0.46855620605272125,51.45584412271571,8,11,1.0014353210933569
89,215.0,"(451.3953488372093, 697.4930232558139)",0.5160237118103055,52.87005768508881,8,12,0.9665598598941312
