,Data_path,Image_path,Condition,mPlate,Processing
p44_EXP,pyphe_quant/NewProject-Run-2-Plate-044-Exp.jpg.csv,images/NewProject-Run-2-Plate-044-Exp.jpg,LB+Salt,p_44,2024-03-11 15:46:07.495723
p46_CTRL,pyphe_quant/NewProject-Run-2-Plate-046-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-046-Ctrl.jpg,LB,p_46,2024-03-11 15:46:07.495723
p46_EXP,pyphe_quant/NewProject-Run-2-Plate-046-Exp.jpg.csv,images/NewProject-Run-2-Plate-046-Exp.jpg,LB+Salt,p_46,2024-03-11 15:46:07.495723
p47_CTRL,pyphe_quant/NewProject-Run-2-Plate-047-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-047-Ctrl.jpg,LB,p_47,2024-03-11 15:46:07.495723
p47_EXP,pyphe_quant/NewProject-Run-2-Plate-047-Exp.jpg.csv,images/NewProject-Run-2-Plate-047-Exp.jpg,LB+Salt,p_47,2024-03-11 15:46:07.495723
p48_CTRL,pyphe_quant/NewProject-Run-2-Plate-048-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-048-Ctrl.jpg,LB,p_48,2024-03-11 15:46:07.495723
p48_EXP,pyphe_quant/NewProject-Run-2-Plate-048-Exp.jpg.csv,images/NewProject-Run-2-Plate-048-Exp.jpg,LB+Salt,p_48,2024-03-11 15:46:07.495723
p49_CTRL,pyphe_quant/NewProject-Run-2-Plate-049-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-049-Ctrl.jpg,LB,p_49,2024-03-11 15:46:07.495723
p49_EXP,pyphe_quant/NewProject-Run-2-Plate-049-Exp.jpg.csv,images/NewProject-Run-2-Plate-049-Exp.jpg,LB+Salt,p_49,2024-03-11 15:46:07.495723
p52_CTRL,pyphe_quant/NewProject-Run-2-Plate-052-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-052-Ctrl.jpg,LB,p_52,2024-03-11 15:46:07.495723
p52_EXP,pyphe_quant/NewProject-Run-2-Plate-052-Exp.jpg.csv,images/NewProject-Run-2-Plate-052-Exp.jpg,LB+Salt,p_52,2024-03-11 15:46:07.495723
